Title,Description,Img_Link
Ulice,Ulice is a Czech soap opera produced and broadcast by Nova. In the Czech language Ulice means street.,https://www.themoviedb.org/t/p/w220_and_h330_face/3ayWL13P1HeRnyVL9lU9flOdZjq.jpg
Wednesday,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.",https://www.themoviedb.org/t/p/w220_and_h330_face/9PFonBhy4cQy7Jz20NpMygczOkv.jpg
Questions pour un champion,"Samuel Etienne hosts this emblematic game, which sees four candidates compete each evening around questions of general culture.",https://www.themoviedb.org/t/p/w220_and_h330_face/4vFsjMKcImBy1a49EkRakvMrgZw.jpg
The Last of Us,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",https://www.themoviedb.org/t/p/w220_and_h330_face/uKvVjHNqB5VmOrdxqAt2F7J78ED.jpg
Tulsa King,"Just after he is released from prison after 25 years, New York mafia capo Dwight “The General” Manfredi is unceremoniously exiled by his boss to set up shop in Tulsa, Okla. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a “crew” from a group of unlikely characters, to help him establish a new criminal empire in a place that to him might as well be another planet.",https://www.themoviedb.org/t/p/w220_and_h330_face/fwTv3RPRAIy0maOMns5eYRRwnDk.jpg
Vengeance of the Bride,The story of a woman who becomes the daughter-in-law of an enemy for desperate revenge.,https://www.themoviedb.org/t/p/w220_and_h330_face/aHUyK2XA76mn9GM36wu2rRKvwB5.jpg
Een Jaar Van Je Leven,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/97obFkhpMLrZcQEUCI69v55etNL.jpg
The Iron Heart,"An undercover agent goes on a dangerous mission to bring down a crime ring. Fueled by a bitter and painful past, he along with his allies faces the grueling task that will challenge his resolve and strength.",https://www.themoviedb.org/t/p/w220_and_h330_face/91V6NI1JXCTDhaSSkoY7T87hk09.jpg
Bhagya Lakshmi,"Hailing from a middle-class family, Lakshmi’s life is upended when she realises that her marriage to Rishi Oberoi, an industrialist’s son, is a sham to keep his death at bay.",https://www.themoviedb.org/t/p/w220_and_h330_face/7wuKrFvbX7kAIF0ctotARsqayPo.jpg
¿Cómo se llama esta relación?,"The new stage of Yeh Rishta Kya Kehlata Hai will deal with the rivalry between sisters set within the premise of a love triangle. It will basically revolve around the story of two sisters, Akshara and Aarohi, and how they get entangled in a relationship with their love interest, Abhimanyu.",https://www.themoviedb.org/t/p/w220_and_h330_face/6ZfiG4P7jivJV0wgcNMSiS2Owhh.jpg
Travessia,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/jFZJEoPzt2RKSsZG8QEWptX5Xyw.jpg
Mar do Sertão,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/ixgnqO8xhFMb1zr8RRFsyeZ9CdD.jpg
Abot-Kamay Na Pangarap,"Analyn is a genius who was born poor and raised by her illiterate and sickly mother. She graduates from high school at the age of 12 and dreams of becoming a doctor in order to help the less privileged. She graduates from med school at 19 years old and becomes the youngest surgical resident in a large hospital. Despite her achievements, she has to deal with bullying and competition from her fellow doctors, who are threatened by her age and intelligence. She soon finds herself in an emotional crisis which forces her to leave her profession indefinitely. She returns to the hospital when she learns that she is the only doctor skilled enough to save her father from a rare brain disease.",https://www.themoviedb.org/t/p/w220_and_h330_face/lVscJEjy2KMkyz5RdeOtmhaiYJk.jpg
The Love in Your Eyes,"Depicts the second love of a rogue daughter-in-law who appears in a 30-year-old gomtang restaurant, and a confident single mother Young Ih who says anything no matter what.",https://www.themoviedb.org/t/p/w220_and_h330_face/gJnVJ3l4p1GDvGpwFedXhAJG3qE.jpg
Sangue Oculto,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/myCEG6C5Nk181jXzBek5MQEXpM2.jpg
侍酒令,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/vfYPxFJUx8o7sBPLfj1XOK5EXes.jpg
Faltu,"What's in a name? Amidst the arid landscape of Rajasthan, a young woman with dreamy eyes struggles to prove her worth.",https://www.themoviedb.org/t/p/w220_and_h330_face/lgyFuoXs7GvKJN0mNm7z7OMOFuZ.jpg
Anne Rice's Mayfair Witches,"An intuitive young neurosurgeon discovers that she is the unlikely heir to a family of witches. As she grapples with her newfound powers, she must contend with a sinister presence that has haunted her family for generations.",https://www.themoviedb.org/t/p/w220_and_h330_face/zKRBfuRWGbs9R2nxhlNP8CfArUh.jpg
The Price Is Right,"""Come on down!"" The Price Is Right features a wide variety of games and contests with the same basic challenge: Guess the prices of everyday (or not-quite-everyday) retail items. ",https://www.themoviedb.org/t/p/w220_and_h330_face/6m4uYFAJwkanZXd0n0HUQ0lYHLl.jpg
The Lord of the Skies,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",https://www.themoviedb.org/t/p/w220_and_h330_face/Ag7VUdnrRz5Qpq3Yn3E5OCvFnu0.jpg
